method,batch_size,context_length,gamma,tree_nodes,mean_ms,p50_ms,p95_ms,std_ms,gpu_name,model_name,tree_mode,status,error,dtype,attention_implementation,use_cache,torch_version,transformers_version,cuda_version,model_revision,past_length,timed_input_length,warmup,repeat,latency_scope,device,peak_memory_mb,source_file
linear_verification,1,128,1.0,,14.285604467391968,14.257760047912598,14.320834922790528,0.288346621500541,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,1,20,100,cuda_device_elapsed,cuda:1,14636.6982421875,target_verification_latency_full.csv
linear_verification,1,128,2.0,,17.568188190460205,17.538496017456055,17.765485572814942,0.2240893972108773,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,2,20,100,cuda_device_elapsed,cuda:1,14636.7529296875,target_verification_latency_full.csv
linear_verification,1,128,4.0,,17.572816677093506,17.566783905029297,17.670320415496825,0.0616613579818786,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,4,20,100,cuda_device_elapsed,cuda:1,14636.8623046875,target_verification_latency_full.csv
linear_verification,1,128,8.0,,16.929774837493895,16.905344009399414,17.049028873443604,0.1486539479310347,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,8,20,100,cuda_device_elapsed,cuda:1,14637.0810546875,target_verification_latency_full.csv
target_decode,1,128,,,14.256912355422974,14.247951984405518,14.330152225494384,0.0486792862166672,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,1,20,100,cuda_device_elapsed,cuda:1,14636.6982421875,target_verification_latency_full.csv
tree_verification,1,128,,8.0,14.265839691162109,14.261759757995604,14.32529888153076,0.0520069770920169,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,1,20,100,cuda_device_elapsed,cuda:1,14636.6982421875,target_verification_latency_full.csv
tree_verification,1,128,,16.0,14.265839691162109,14.261759757995604,14.32529888153076,0.0520069770920169,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,1,20,100,cuda_device_elapsed,cuda:1,14636.6982421875,target_verification_latency_full.csv
tree_verification,1,128,,32.0,14.265839691162109,14.261759757995604,14.32529888153076,0.0520069770920169,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,1,20,100,cuda_device_elapsed,cuda:1,14636.6982421875,target_verification_latency_full.csv
tree_verification,1,128,,64.0,14.265839691162109,14.261759757995604,14.32529888153076,0.0520069770920169,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,1,20,100,cuda_device_elapsed,cuda:1,14636.6982421875,target_verification_latency_full.csv
linear_verification,1,512,1.0,,14.154400272369385,14.130607604980469,14.262615633010864,0.090415107077047,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,1,20,100,cuda_device_elapsed,cuda:1,14812.837890625,target_verification_latency_full.csv
linear_verification,1,512,2.0,,17.476411819458008,17.46679973602295,17.549569129943848,0.0607235295323592,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,2,20,100,cuda_device_elapsed,cuda:1,14812.892578125,target_verification_latency_full.csv
linear_verification,1,512,4.0,,17.556503067016603,17.54848003387451,17.62302169799805,0.1750714534350095,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,4,20,100,cuda_device_elapsed,cuda:1,14813.001953125,target_verification_latency_full.csv
linear_verification,1,512,8.0,,17.059255332946776,17.05521583557129,17.13904857635498,0.0477601321854256,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,8,20,100,cuda_device_elapsed,cuda:1,14813.220703125,target_verification_latency_full.csv
target_decode,1,512,,,14.229194202423097,14.219264030456545,14.286601352691653,0.1344687650873653,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,1,20,100,cuda_device_elapsed,cuda:1,14812.837890625,target_verification_latency_full.csv
tree_verification,1,512,,8.0,14.22603964805603,14.2184157371521,14.307547426223756,0.0489211623139572,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,1,20,100,cuda_device_elapsed,cuda:1,14812.837890625,target_verification_latency_full.csv
tree_verification,1,512,,16.0,14.22603964805603,14.2184157371521,14.307547426223756,0.0489211623139572,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,1,20,100,cuda_device_elapsed,cuda:1,14812.837890625,target_verification_latency_full.csv
tree_verification,1,512,,32.0,14.22603964805603,14.2184157371521,14.307547426223756,0.0489211623139572,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,1,20,100,cuda_device_elapsed,cuda:1,14812.837890625,target_verification_latency_full.csv
